Brand Name,Generic Name,Number of Manufacturers,Total Spending,Total Dosage Units,Total Claims,"Total 
Beneficiaries",Average Spending Per Dosage Unit (Weighted),"Average 
Spending Per Claim","Average 
Spending Per Beneficiary","Outlier 
Flag",Change in Average Spending Per Dosage Unit (2017-2018)
Monurol,Fosfomycin Tromethamine,2,"$10,812,428.78","132,612","55,737","31,602",$81.54,$193.99,$342.14,0,10.46%
Morgidox,Doxycycline Hyclate,1,"$1,145.16","1,058",30,17,$1.07,$38.17,$67.36,1,-51.69%
Morphabond ER,Morphine Sulfate,1,"$5,728,191.17","589,627","10,514","3,101",$9.50,$544.82,"$1,847.21",0,0.66%
Morphine Sulfate ER,Morphine Sulfate,15,"$147,433,198.87","187,046,407","2,947,892","377,436",$0.79,$50.01,$390.62,0,-18.13%
Morphine Sulfate*,Morphine Sulfate,12,"$25,702,788.43","65,133,219","818,900","239,975",$0.44,$31.39,$107.11,0,17.86%
Morphine Sulfate*,Morphine Sulfate/PF,2,"$17,436.36","88,004",111,44,$0.31,$157.08,$396.28,0,-48.24%
Motofen,Difenoxin HCl/Atropine Sulfate,1,"$135,810.01","19,451",222,111,$6.98,$611.76,"$1,223.51",0, 
Movantik,Naloxegol Oxalate,1,"$86,783,013.24","7,450,405","231,111","57,820",$11.65,$375.50,"$1,500.92",0,10.31%
Moviprep,PEG3350/Sod Sul/NaCl/KCl/Asb/C,1,"$7,216,792.12","72,042","71,726","69,656",$100.18,$100.62,$103.61,0,10.85%
Moxeza,Moxifloxacin HCl,1,"$538,972.31","9,297","2,927","2,147",$57.98,$184.14,$251.04,0,7.69%
Moxifloxacin,Moxifloxacin HCl,5,"$27,531,045.59","1,571,374","502,408","335,328",$17.52,$54.80,$82.10,0,-38.08%
Moxifloxacin,Moxifloxacin-Sod.Chloride(Iso),1,"$15,157.88","79,280",76,37,$0.19,$199.45,$409.67,0, 
Moxifloxacin HCl,Moxifloxacin HCl,10,"$5,400,646.50","795,397","80,539","64,007",$6.82,$67.06,$84.38,0,-12.64%
Mozobil,Plerixafor,1,"$4,422,845.63",685,197,185,"$6,454.82","$22,450.99","$23,907.27",0,4.97%
Ms Contin,Morphine Sulfate,2,"$2,971,690.86","226,391","2,372",279,$12.63,"$1,252.82","$10,651.22",0,10.64%
Multaq,Dronedarone HCl,1,"$312,997,928.32","29,903,159","351,048","68,943",$10.47,$891.61,"$4,539.95",0,8.21%
Multivitamin With Fluoride,Pedi Multivit No.17 W-Fluoride,2,"$2,398.29","15,605",408,135,$0.16,$5.88,$17.77,0,-42.57%
Multivitamin With Fluoride,Pedi Multivit No.2 W-Fluoride,1,$203.61,680,14, ,$0.30,$14.54, ,1, 
Multivitamins With Fluoride,Pedi Multivit No.82 W-Fluoride,1,$698.70,"1,730",24,11,$0.41,$29.11,$63.52,1,-0.65%
Mupirocin,Mupirocin,7,"$31,404,288.98","70,473,120","2,556,571","1,779,436",$0.44,$12.28,$17.65,0,4.00%
Mupirocin,Mupirocin Calcium,2,"$41,605,617.29","4,618,566","157,390","115,513",$9.01,$264.35,$360.18,0,38.79%
Muse,Alprostadil,1,"$11,494.43",168,31,16,$68.12,$370.79,$718.40,1,2.54%
Mustargen,Mechlorethamine HCl,1,"$91,774.57","12,790",55,27,$7.18,"$1,668.63","$3,399.06",0,31.55%
Mvc-Fluoride,Pedi Multivit No.12 W-Fluoride,1,$263.27,"1,829",66,12,$0.15,$3.99,$21.94,0,-55.59%
Myalept,Metreleptin,1,"$11,357,420.62","2,533",109,12,"$4,483.78","$104,196.52","$946,451.72",0,12.33%
Myambutol,Ethambutol HCl,1,"$18,119.22","23,104",346,137,$0.78,$52.37,$132.26,0,0.20%
Mycamine,Micafungin Sodium,2,"$7,839,431.18","357,030","6,650","1,723",$23.24,"$1,178.86","$4,549.87",1,55.15%
Mycobutin,Rifabutin,1,"$23,665.08",923,19, ,$25.64,"$1,245.53", ,1,-1.48%
Mycophenolate Mofetil,Mycophenolate Mofetil,11,"$43,307,438.86","56,104,325","346,311","66,552",$0.76,$125.05,$650.73,0,3.62%
Mycophenolic Acid,Mycophenolate Sodium,5,"$17,657,299.00","4,172,895","29,171","5,695",$4.43,$605.30,"$3,100.49",0,-8.66%
Mydayis,Dextroamphetamine/Amphetamine,1,"$1,133,931.67","122,755","3,979","1,004",$9.24,$284.98,"$1,129.41",0,1.24%
Myfortic,Mycophenolate Sodium,1,"$3,189,362.99","399,204","2,793",574,$8.29,"$1,141.91","$5,556.38",0,5.39%
Myleran,Busulfan,1,"$19,578.64",820,20, ,$23.88,$978.93, ,1,0.81%
Myobloc,Rimabotulinumtoxinb,1,"$394,440.98",674,379,175,$584.84,"$1,040.74","$2,253.95",0,1.00%
Myorisan,Isotretinoin,1,"$1,462,306.92","220,554","4,944","1,780",$6.56,$295.77,$821.52,0,-12.70%
Myrbetriq,Mirabegron,1,"$1,063,585,890.00","89,788,096","2,261,383","464,893",$11.85,$470.33,"$2,287.81",0,9.77%
Mysoline,Primidone,1,"$14,952,691.66","478,168","3,903",550,$34.58,"$3,831.08","$27,186.71",0,8.20%
Mytesi,Crofelemer,1,"$2,213,065.69","200,880","3,162",593,$11.02,$699.89,"$3,731.98",0,7.71%
Myzilra,Levonorgestrel-Ethin Estradiol,1,"$26,730.15","42,416","1,010",201,$0.63,$26.47,$132.99,0,6.57%
NP Thyroid,"Thyroid,Pork",1,"$2,327,326.13","3,574,545","59,459","18,391",$0.67,$39.14,$126.55,0,15.58%
NPlate,Romiplostim,1,"$10,752,109.86","4,376","1,032",175,"$2,398.47","$10,418.71","$61,440.63",0,1.21%
Nabi-Hb,Hepatitis B Immune Globulin,1,"$98,585.88",746,34, ,$136.77,"$2,899.58", ,1,-1.75%
Nabumetone,Nabumetone,10,"$18,269,844.68","58,389,988","761,776","267,656",$0.31,$23.98,$68.26,0,2.45%
Nadolol,Nadolol,10,"$53,780,679.63","24,594,594","375,251","80,426",$2.17,$143.32,$668.70,0,-1.90%
Nadolol-Bendroflumethiazide,Nadolol/Bendroflumethiazide,1,"$375,933.73","109,253","1,713",402,$3.45,$219.46,$935.16,0,16.36%
Nafcillin,"Nafcillin In Dextrose,Iso-Osm",1,"$413,476.24","1,848,568",547,142,$0.22,$755.90,"$2,911.80",0,1.26%
Nafcillin Sodium*,Nafcillin Sodium,7,"$4,099,144.77","1,464,111","5,664","1,372",$3.94,$723.72,"$2,987.71",0,3.20%
Naftifine HCl,Naftifine HCl,3,"$3,625,252.29","755,249","11,994","6,736",$4.86,$302.26,$538.19,0,-9.04%
Naftin,Naftifine HCl,2,"$2,757,863.61","347,240","5,622","3,648",$8.10,$490.55,$755.99,0,4.64%
Naglazyme,Galsulfase,1,"$6,271,206.88","16,060",111, ,$390.49,"$56,497.36", ,0,5.57%
Nalbuphine HCl,Nalbuphine HCl,1,"$871,648.73","214,160","3,895",362,$4.09,$223.79,"$2,407.87",0,9.20%
Nalfon,Fenoprofen Calcium,1,"$154,937.10","35,624",420,161,$4.35,$368.90,$962.34,0,4.03%
Nalocet,Oxycodone HCl/Acetaminophen,1,"$89,909.53","4,485",66,34,$20.05,"$1,362.27","$2,644.40",0, 
Naloxone HCl,Naloxone HCl,7,"$1,070,327.74","71,085","26,754","24,739",$15.16,$40.01,$43.26,0,3.53%
Naltrexone HCl,Naltrexone HCl,7,"$9,661,267.91","7,741,875","209,709","55,272",$1.25,$46.07,$174.79,0,-1.44%
Namenda,Memantine HCl,1,"$3,512,729.64","486,995","6,737","2,188",$7.20,$521.41,"$1,605.45",0,12.85%
Namenda XR,Memantine HCl,1,"$251,162,111.63","17,617,524","610,807","164,313",$14.26,$411.20,"$1,528.56",0,8.48%
Namzaric,Memantine HCl/Donepezil HCl,1,"$252,777,988.09","17,546,697","599,834","76,751",$14.41,$421.41,"$3,293.48",0,10.19%
Naprelan,Naproxen Sodium,1,"$742,479.14","33,201",569,146,$22.51,"$1,304.88","$5,085.47",0,2.75%
Naprosyn,Naproxen,1,"$7,372.71","2,975",40,32,$2.48,$184.32,$230.40,0,0.61%
Naproxen,Naproxen,17,"$36,105,805.50","241,758,913","3,594,577","1,596,933",$0.14,$10.04,$22.61,0,5.03%
Naproxen Sodium,Naproxen Sodium,6,"$7,866,572.30","5,890,413","103,769","54,862",$1.35,$75.81,$143.39,0,-20.07%
Naproxen Sodium Cr,Naproxen Sodium,1,"$13,074,456.82","1,167,831","13,159","6,197",$11.52,$993.58,"$2,109.80",0,-13.00%
Naproxen Sodium Ds,Naproxen Sodium,1,"$441,026.64","329,524","6,082","4,020",$1.34,$72.51,$109.71,0,-12.61%
Naproxen Sodium ER,Naproxen Sodium,1,"$1,418,247.32","118,696","1,660",899,$12.19,$854.37,"$1,577.58",0,-4.47%
Naratriptan HCl,Naratriptan HCl,5,"$3,619,955.77","823,348","68,297","16,815",$4.42,$53.00,$215.28,0,-4.30%
Narcan,Naloxone HCl,1,"$26,307,534.92","408,728","202,274","190,188",$64.36,$130.06,$138.32,0,1.52%
Nardil,Phenelzine Sulfate,1,"$357,858.30","147,588","1,036",152,$2.42,$345.42,"$2,354.33",0,14.55%
Naropin,Ropivacaine HCl/PF,1,"$27,707.76","58,290",11, ,$0.69,"$2,518.89", , , 
Nasonex,Mometasone Furoate,1,"$7,540,635.32","554,982","24,876","10,783",$13.59,$303.13,$699.31,0,2.14%
Natachew,"PNV 55/Iron Fum,B-G/Folic Acid",1,"$3,433.34",862,12, ,$3.98,$286.11, ,1,5.65%
Natacyn,Natamycin,1,"$558,230.80","24,930","1,647",990,$22.39,$338.94,$563.87,0,6.92%
Natazia,Estradiol Valerate/Dienogest,1,"$80,657.19","11,292",293,51,$7.14,$275.28,"$1,581.51",0,11.15%
Nateglinide,Nateglinide,6,"$25,501,564.55","32,148,051","229,520","49,785",$0.79,$111.11,$512.23,0,-3.84%
Natesto,Testosterone,2,"$536,635.33","15,250",770,280,$35.18,$696.93,"$1,916.55",0,10.72%
Natpara,Parathyroid Hormone,1,"$53,128,927.50","10,984","5,136",591,"$4,837.37","$10,344.42","$89,896.66",0,5.95%
Natroba,Spinosad,1,"$37,570.46","17,640",138,109,$2.13,$272.25,$344.68,0, 
Nature-Throid,"Thyroid,Pork",1,"$1,035.00","3,272",43,16,$0.32,$24.07,$64.69,0,2.53%
Navelbine,Vinorelbine Tartrate,1,"$1,733.28",81,13, ,$24.38,$133.33, ,1, 
Nebupent,Pentamidine Isethionate,1,"$25,186.26",145,137,45,$173.70,$183.84,$559.69,0,1.30%
Nebusal,Sodium Chloride For Inhalation,1,$645.63,"3,216",14, ,$0.20,$46.12, ,1,8.21%
Necon,Norethindrone-Ethinyl Estrad,3,"$87,096.79","124,800","2,645",592,$0.70,$32.93,$147.12,0,13.17%
Necon,Norethindrone-Mestranol,1,"$8,214.14","10,083",235,115,$0.81,$34.95,$71.43,0,0.66%
Needles,"Pen Needle, Diabetic",1,$519.68,"2,700",30,23,$0.19,$17.32,$22.59,0,6.85%
Nefazodone HCl,Nefazodone HCl,1,"$8,486,606.71","4,568,093","46,468","8,154",$1.86,$182.63,"$1,040.79",0,0.04%
Neo-Polycin,Neomycin Sulf/Bacitracin/Poly,1,"$149,708.10","14,718","3,909","3,249",$10.17,$38.30,$46.08,0,-3.08%
Neo-Polycin HC,Neomycin/Bacit/P-Myx/Hydrocort,1,"$69,640.09","5,654","1,556","1,233",$12.32,$44.76,$56.48,0,0.32%
Neo-Synalar,Neomycin Sulfate/Fluocinolone,1,"$176,392.51","16,525",258,180,$10.67,$683.69,$979.96,0,7.68%
Neomycin Sulfate,Neomycin Sulfate,4,"$1,128,368.37","1,154,693","69,707","61,382",$0.98,$16.19,$18.38,0,0.25%
Neomycin-Bacitracin-Poly-HC,Neomycin/Bacit/P-Myx/Hydrocort,2,"$209,782.26","16,712","4,547","3,547",$12.55,$46.14,$59.14,0,-4.31%
Neomycin-Bacitracin-Polymyxin,Neomycin Sulf/Bacitracin/Poly,2,"$178,072.49","16,499","4,473","3,519",$10.79,$39.81,$50.60,0,-7.22%
Neomycin-Polymyxin B,Neomycin Sulf/Polymyxin B Sulf,2,"$279,051.60","1,570,172","4,887",556,$0.18,$57.10,$501.89,0,-2.74%
Neomycin-Polymyxin-Dexameth,Neomycin/Polymyxin B/Dexametha,3,"$12,711,539.75","3,720,811","836,855","608,081",$3.54,$15.19,$20.90,0,-3.06%
Neomycin-Polymyxin-Gramicidin,Neomycin/Polymyxn B/Gramicidin,1,"$320,538.96","68,666","6,784","5,937",$4.67,$47.25,$53.99,0,0.70%
Neomycin-Polymyxin-HC*,Neomycin/Polymyxin B/Hydrocort,2,"$16,921,881.67","2,567,168","256,331","220,673",$6.71,$66.02,$76.68,0,13.58%
Neomycin-Polymyxin-Hydrocort,Neomycin/Polymyxin B/Hydrocort,2,"$17,182,222.64","2,810,679","277,459","238,684",$6.11,$61.93,$71.99,0,16.74%
Neoral,"Cyclosporine, Modified",1,"$2,636,915.76","1,009,152","5,166",839,$3.35,$510.44,"$3,142.93",0,0.72%
Neosporin G.U. Irrigant,Neomycin Sulf/Polymyxin B Sulf,1,"$1,272.06","7,062",20, ,$1.53,$63.60, ,1,846.62%
Nephro-Vite Rx,Vit B Comp No.3/Folic/C/Biotin,1,$364.96,990,26, ,$0.37,$14.04, ,1,-11.95%
Nerlynx,Neratinib Maleate,1,"$25,587,361.43","393,699","2,314",552,$64.99,"$11,057.63","$46,353.92",0,9.11%
Nesina,Alogliptin Benzoate,1,"$1,026,726.95","85,267","1,923",562,$12.04,$533.92,"$1,826.92",0,1.95%
Nestabs,Prenatal Vit86/Iron/Folic Acid,1,"$6,089.17","2,941",64,26,$2.07,$95.14,$234.20,0,16.43%
Nestabs DHA,Prenatal 87/Iron Bis/Folic/DHA,1,"$5,714.91","2,280",33,18,$2.51,$173.18,$317.50,0,20.58%
Nestabs One,PNV No.111/Iron/Folate/DHA,1,"$6,494.25","1,204",41,11,$5.39,$158.40,$590.39,0, 
Neulasta,PEGfilgrastim,1,"$85,332,145.87","8,109","11,520","3,436","$10,524.76","$7,407.30","$24,834.73",0,7.75%
Neupogen,Filgrastim,1,"$37,591,852.70","65,477","13,141","4,582",$604.36,"$2,860.65","$8,204.25",0,4.16%
Neupro,Rotigotine,1,"$88,130,788.82","4,060,093","106,828","19,296",$21.71,$824.98,"$4,567.31",0,4.85%
Neurontin,Gabapentin,1,"$26,916,602.10","4,380,015","25,824","4,760",$6.70,"$1,042.31","$5,654.75",0,15.44%
Nevanac,Nepafenac,1,"$6,356,451.33","72,524","19,329","9,314",$87.65,$328.86,$682.46,0,8.56%
Nevirapine,Nevirapine,5,"$681,611.84","1,204,726","15,914","2,144",$0.57,$42.83,$317.92,0,-13.63%
Nevirapine ER,Nevirapine,7,"$7,021,951.97","535,007","15,258","1,838",$13.16,$460.21,"$3,820.43",0,-10.22%
Nexavar,Sorafenib Tosylate,1,"$162,745,030.16","1,052,723","11,978","3,579",$154.59,"$13,587.00","$45,472.21",0,10.32%
Nexium,Esomeprazole Magnesium,1,"$209,259,750.57","24,911,806","495,169","113,362",$8.46,$422.60,"$1,845.94",0,0.51%
Nexium I.V.,Esomeprazole Sodium,1,"$54,781.55","1,274",159, ,$43.00,$344.54, ,0,46.96%
Nexplanon,Etonogestrel,1,"$174,522.27",189,189,189,$923.40,$923.40,$923.40,0,4.48%
Niacin ER,Niacin,10,"$59,500,340.72","25,801,539","354,416","76,946",$2.30,$167.88,$773.27,0,0.31%
Niacor,Niacin,2,"$1,969,488.84","1,056,225","10,131","2,623",$1.72,$194.40,$750.85,0,356.18%
Niaspan,Niacin,1,"$7,886,257.00","3,274,739","26,865","8,171",$2.45,$293.55,$965.15,0,-14.05%
Nicardipine HCl*,Nicardipine HCl,2,"$2,383,328.80","1,522,225","12,065","2,504",$1.59,$197.54,$951.81,0,-3.60%
Nicotrol,Nicotine,1,"$15,526,189.86","6,106,993","32,187","16,243",$2.54,$482.37,$955.87,0,15.05%
Nicotrol Ns,Nicotine,1,"$6,141,482.08","550,912","10,479","2,865",$11.15,$586.08,"$2,143.62",0,14.66%
Nifedical XL,Nifedipine,1,"$386,696.86","723,611","15,578","5,780",$0.53,$24.82,$66.90,0,-10.64%
Nifedipine,Nifedipine,6,"$2,007,108.88","1,609,290","16,122","6,036",$1.18,$124.50,$332.52,0,16.83%
Nifedipine ER,Nifedipine,17,"$139,697,841.66","204,878,940","3,278,065","683,393",$0.69,$42.62,$204.42,0,3.83%
Nikki,Ethinyl Estradiol/Drospirenone,1,"$219,858.23","162,178","3,843","1,128",$1.36,$57.21,$194.91,0,-10.61%
Nilandron,Nilutamide,1,"$1,522,095.02","6,498",221,47,$234.24,"$6,887.31","$32,385.00",0,4.69%
Nilutamide,Nilutamide,1,"$5,263,420.10","34,185","1,000",221,$153.97,"$5,263.42","$23,816.38",0,-2.68%
Nimodipine,Nimodipine,6,"$1,645,338.29","250,204","2,225",939,$6.55,$739.48,"$1,752.22",0,-22.01%
Ninlaro,Ixazomib Citrate,1,"$268,301,806.90","79,555","26,564","4,714","$3,372.53","$10,100.20","$56,915.95",0,5.78%
Nisoldipine,Nisoldipine,2,"$10,585,339.98","1,949,643","30,223","6,821",$5.53,$350.24,"$1,551.88",0,-6.63%
Nitro-Bid,Nitroglycerin,1,"$1,042,770.22","942,215","21,216","12,992",$1.11,$49.15,$80.26,0,8.08%
Nitro-Dur,Nitroglycerin,2,"$1,630,422.21","138,262","3,189",955,$11.73,$511.26,"$1,707.25",0,109.30%
Nitrofurantoin,Nitrofurantoin,5,"$2,804,263.01","1,526,571","4,706","2,185",$1.83,$595.89,"$1,283.42",0,-1.63%
Nitrofurantoin,Nitrofurantoin Macrocrystal,9,"$28,466,181.96","23,465,328","711,601","335,191",$1.26,$40.00,$84.93,0,-2.47%
Nitrofurantoin Mono-Macro,Nitrofurantoin Monohyd/M-Cryst,10,"$68,601,190.97","43,496,556","2,647,355","1,832,646",$1.58,$25.91,$37.43,0,-3.71%
Nitroglycerin Patch,Nitroglycerin,6,"$15,360,290.54","16,539,082","389,888","85,245",$0.93,$39.40,$180.19,0,1.08%
Nitroglycerin*,Nitroglycerin,9,"$57,999,825.23","88,999,523","2,188,294","1,381,087",$1.00,$26.50,$42.00,0,-15.52%
Nitrolingual,Nitroglycerin,1,"$205,521.74","5,735",612,355,$35.84,$335.82,$578.93,0,-1.37%
Nitrostat,Nitroglycerin,1,"$2,092,936.27","2,129,595","50,527","33,589",$1.01,$41.42,$62.31,0,13.77%
Niva-Plus,Multivit-Mins60/Iron Fum/Folic,1,$171.85,797,26,14,$0.22,$6.61,$12.28,1,12.20%
Nizatidine,Nizatidine,6,"$1,680,410.28","3,024,932","33,328","8,194",$0.58,$50.42,$205.08,0,17.31%
Nizoral,Ketoconazole,1,"$27,202.00","59,160",345,153,$0.46,$78.85,$177.79,0,0.71%
Nocdurna,Desmopressin Acetate,1,"$13,149.08",900,26,24,$14.61,$505.73,$547.88,1, 
Noctiva,Desmopressin Acetate,1,"$745,159.93","6,626","1,536",864,$112.46,$485.13,$862.45,0, 
Nolix,Flurandrenolide,1,"$14,097.56","2,280",18,16,$6.05,$783.20,$881.10,1, 
Nora-Be,Norethindrone,1,"$69,053.08","119,834","2,155",752,$0.58,$32.04,$91.83,0,5.87%
Norco,Hydrocodone/Acetaminophen,2,"$4,290,152.53","973,392","8,720","1,944",$4.31,$491.99,"$2,206.87",0,8.05%
Norditropin Flexpro,Somatropin,1,"$17,901,506.11","26,360","7,966","1,038",$699.71,"$2,247.24","$17,246.15",0,5.22%
Norethin-Eth Estra-Ferrous Fum,Noreth-Ethinyl Estradiol/Iron,1,"$25,067.89","13,962",301,77,$1.84,$83.28,$325.56,0,-4.80%
Norethin-Eth Estra-Ferrous Fum,Norethindrone-E.Estradiol-Iron,3,"$121,404.34","149,467","4,123",974,$0.79,$29.45,$124.65,0,6.14%
Norethindron-Ethinyl Estradiol,Norethindrone Ac-Eth Estradiol,3,"$1,256,094.71","810,018","18,736","4,922",$1.44,$67.04,$255.20,0,-1.81%
Norethindrone,Norethindrone,3,"$795,872.44","1,437,072","33,467","9,271",$0.55,$23.78,$85.85,0,9.46%
Norethindrone Acetate,Norethindrone Acetate,4,"$2,588,882.39","2,195,857","44,207","11,591",$1.18,$58.56,$223.35,0,-12.31%
Norgestimate-Ethinyl Estradiol,Norgestimate-Ethinyl Estradiol,3,"$303,803.74","591,775","14,816","3,958",$0.51,$20.51,$76.76,0,5.69%
Noritate,Metronidazole,1,"$3,727,671.33","114,320","1,767","1,161",$32.61,"$2,109.60","$3,210.74",0,10.44%
Norlyda,Norethindrone,1,"$142,667.99","236,886","4,650","1,591",$0.60,$30.68,$89.67,0,28.50%
Norpace,Disopyramide Phosphate,1,"$195,878.14","42,215",279,50,$4.70,$702.07,"$3,917.56",0,13.16%
Norpace Cr,Disopyramide Phosphate,1,"$1,247,048.99","285,294","2,084",459,$4.37,$598.39,"$2,716.88",0,15.20%
Norpramin,Desipramine HCl,1,"$54,143.65","33,336",117,36,$1.68,$462.77,"$1,503.99",0,-6.88%
Northera,Droxidopa,1,"$176,669,498.84","3,288,267","18,818","2,934",$56.03,"$9,388.32","$60,214.55",0,12.28%
Nortrel,Norethindrone-Ethinyl Estrad,1,"$478,032.94","733,152","17,285","3,255",$0.65,$27.66,$146.86,0,7.12%
Nortriptyline HCl,Nortriptyline HCl,7,"$21,682,810.37","111,657,647","1,420,773","330,071",$0.20,$15.26,$65.69,0,3.79%
Norvasc,Amlodipine Besylate,1,"$23,485,180.01","3,425,893","53,961","11,499",$6.95,$435.23,"$2,042.37",0,14.70%
Norvir,Ritonavir,1,"$36,931,389.77","4,312,636","103,796","24,985",$8.61,$355.81,"$1,478.14",0,-0.48%
Novarel,"Chorionic Gonadotropin, Human",1,"$56,039.30",596,124,43,$127.44,$451.93,"$1,303.24",0,-5.22%
Novofine,"Pen Needle, Diabetic",1,"$3,111,903.90","7,314,758","56,476","30,117",$0.43,$55.10,$103.33,0,5.62%
Novofine 32,"Pen Needle, Diabetic",1,"$16,999,329.16","34,466,754","248,482","91,094",$0.49,$68.41,$186.61,0,5.19%
Novofine Autocover,"Pen Needle, Diabetic, Safety",1,"$15,869,423.80","21,078,183","225,873","54,026",$0.75,$70.26,$293.74,0,4.10%
Novofine Plus,"Pen Needle, Diabetic",1,"$4,033,116.65","8,981,944","66,272","28,779",$0.45,$60.86,$140.14,0,4.94%
Novolin 70-30,Insulin NPh Hum/Reg Insulin Hm,2,"$163,739,269.55","15,867,130","520,976","104,093",$10.67,$314.29,"$1,573.01",0,2.08%
Novolin 70-30 Flexpen,Insulin NPh Hum/Reg Insulin Hm,2,"$64,793.98","6,813",279,259,$9.19,$232.24,$250.17,0, 
Novolin N,Insulin NPh Human Isophane,2,"$82,908,402.52","8,248,029","323,880","71,476",$10.33,$255.98,"$1,159.95",0,1.83%
Novolin R,"Insulin Regular, Human",2,"$64,723,913.44","5,939,949","325,125","81,977",$11.85,$199.07,$789.54,0,0.73%
Novolog,Insulin Aspart,1,"$694,913,262.07","24,316,865","1,189,463","266,202",$28.57,$584.22,"$2,610.47",0,3.23%
Novolog Flexpen,Insulin Aspart,1,"$1,712,623,585.10","47,016,576","2,353,586","583,282",$36.43,$727.67,"$2,936.18",0,3.40%
Novolog Mix 70-30,Insulin Aspart Prot/Insuln Asp,1,"$150,741,064.91","5,133,749","187,759","36,427",$29.36,$802.84,"$4,138.17",0,3.26%
Novolog Mix 70-30 Flexpen,Insulin Aspart Prot/Insuln Asp,1,"$465,998,078.48","12,858,197","458,533","92,512",$36.24,"$1,016.28","$5,037.16",0,3.40%
Novopen Echo,Insulin Admin. Supplies,1,"$14,478.87",263,246,218,$55.05,$58.86,$66.42,0,0.22%
Novotwist,"Pen Needle, Diabetic",1,"$2,845,752.71","5,781,595","44,681","16,447",$0.49,$63.69,$173.03,0,5.28%
Noxafil*,Posaconazole,1,"$81,941,828.97","1,644,228","14,190","3,568",$61.39,"$5,774.62","$22,965.76",0,5.33%
Nucala,Mepolizumab,1,"$32,478,178.74","11,050","9,944","1,634","$2,939.20","$3,266.11","$19,876.49",0,5.91%
Nucynta,Tapentadol HCl,2,"$51,415,137.32","7,276,750","85,243","19,404",$6.91,$603.16,"$2,649.72",0,11.31%
Nucynta ER,Tapentadol HCl,2,"$62,074,658.06","4,974,229","87,428","17,312",$12.42,$710.01,"$3,585.64",0,10.55%
Nuedexta,Dextromethorphan HBr/Quinidine,1,"$251,144,558.77","14,172,941","391,189","38,791",$17.72,$642.00,"$6,474.30",0,32.90%
Nulev,Hyoscyamine Sulfate,1,"$1,799.32","1,384",22,19,$1.30,$81.79,$94.70,1,-3.42%
Nulojix,Belatacept,1,"$4,806,126.09","5,488","2,155",252,$875.82,"$2,230.22","$19,071.93",1,7.71%
Nulytely With Flavor Packs,Sodium Chloride/NaHCO3/KCl/PEG,1,"$86,140.04","13,512,609","3,114","2,857",$0.01,$27.66,$30.15,0,2.57%
Nuplazid,Pimavanserin Tartrate,1,"$209,067,811.59","4,048,770","88,900","11,554",$53.83,"$2,351.72","$18,094.84",0,40.60%
Nutrilipid,Fat Emulsions,1,"$33,554.71","689,825",309,44,$0.05,$108.59,$762.61,0,74.98%
Nutropin Aq Nuspin,Somatropin,1,"$8,593,321.86","13,218","2,369",381,$618.53,"$3,627.40","$22,554.65",0,5.98%
Nuvaring,Etonogestrel/Ethinyl Estradiol,1,"$2,997,441.59","19,095","11,466","2,915",$156.98,$261.42,"$1,028.28",0,12.70%
Nuvessa,Metronidazole,1,"$18,341.15",490,96,83,$37.43,$191.05,$220.98,0, 
Nuvigil,Armodafinil,1,"$7,965,586.56","353,781","8,754","1,527",$22.79,$909.94,"$5,216.49",0,5.98%
Nyamyc,Nystatin,1,"$11,906,467.44","16,027,745","353,234","170,410",$0.74,$33.71,$69.87,0,-7.79%
Nymalize,Nimodipine,1,"$53,633.30","13,403",20,11,$4.00,"$2,681.67","$4,875.75",1,0.49%
Nystatin*,Nystatin,25,"$58,715,121.39","272,699,546","2,481,733","1,329,658",$0.39,$23.66,$44.16,0,-1.75%
Nystatin-Triamcinolone,Nystatin/Triamcin,11,"$22,475,049.84","10,402,972","254,871","154,808",$2.17,$88.18,$145.18,0,-18.23%
Nystop,Nystatin,1,"$20,698,107.66","29,206,275","682,822","355,752",$0.71,$30.31,$58.18,0,-2.75%
O-Cal Fa,Multivit-Mins No.61/Iron/Folic,1,$264.59,"1,050",21, ,$0.25,$12.60, ,1,0.80%
O-Cal Prenatal,Prenatal Vit No.127/Iron/Folic,1,$537.64,"3,908",58,29,$0.14,$9.27,$18.54,0,-4.12%
Ob Complete,Prenatal No.123/Iron/Folic Ac,1,"$4,258.41","2,454",56,22,$1.74,$76.04,$193.56,0,6.04%
Ob Complete One,PNV 85/Iron/Folic/DHA/Fish Oil,1,"$17,233.79","3,300",72,22,$5.22,$239.36,$783.35,0,11.98%
Ob Complete Petite,Prenatal56/Iron/Folic Acid/DHA,1,"$27,087.13","5,250",139,44,$5.16,$194.87,$615.62,0,12.52%
Ob Complete With DHA,"PNV 30/Iron Carb,Ag/Folic/Om3",1,"$2,676.94","1,018",25,13,$2.63,$107.08,$205.92,1,12.59%
Ocaliva,Obeticholic Acid,1,"$52,445,397.63","242,052","7,885","1,121",$216.66,"$6,651.29","$46,784.48",0,7.30%
Ocella,Ethinyl Estradiol/Drospirenone,1,"$158,155.78","127,549","2,791",723,$1.24,$56.67,$218.75,0,1.80%
Ocrevus,Ocrelizumab,1,"$50,553,375.07","33,970","1,610","1,049","$1,488.18","$31,399.61","$48,191.97",1,8.20%
Octagam,Immun Globg(IgG)/Malt/IgA Ov50,1,"$82,973,255.93","7,746,360","7,069","1,062",$11.63,"$11,737.62","$78,129.24",0,10.08%
